id,title,description,language,content_id
a1zpeyOrJjEubvMXOenEv,Ginzan Onsen,"Travel back in time to classical Japan in Ginzan Onsen! The town is home to wooden hot spring inns lining each side of the Ginzan River and resonates with nostalgic beauty when illuminated at night by gas street lamps. The night view of the town blanketed in snow beneath the warm streetlights is particularly photogenic during winter. Relax your feet in hot spring water at the “Warashiyu” footbaths while exploring the town! The compact town is suitable for strolling around and has a variety of cafes, eateries, and gift shops. Rent classical Taisho period costumes to enhance your Onsen experience. A relaxing soak in a hot spring surrounded by snowy scenery is an exceptional delight! Afterward, savor local specialties including the local Wagyu beef “Obanazawa” and Obanazawa Soba noodles!",EN,hsPXinmxaikJIzs9zMXSZ
fpfmNFnA5aH06q5ib59Io,銀山温泉,銀山温泉で古き良き日本の時代にタイムスリップしましょう！この町は、銀山川の両側に並ぶ木造の温泉宿が特徴で、夜にはガス灯に照らされて懐かしい美しさを醸し出します。特に冬の雪に覆われた町の夜景はフォトジェニックで、温泉水が湧き出る「わらし湯」の足湯でリラックスしながら散策を楽しめます。大正時代の衣装をレンタルして、当時の日本の文化を体験するのもおすすめです。東京から新幹線で3時間、バスで40分のアクセスで、温泉に浸かりながら雪景色を楽しむ贅沢なひとときを過ごせます。地元の特産品である「おばなざわ和牛」や「おばなざわそば」を味わうのもお忘れなく！,JA,hsPXinmxaikJIzs9zMXSZ
v2_UrDVqT0mDklh0M43Fa,Nyuto Onsenkyo,"Nyuto Onsenkyo is a renowned hot spring town in Japan, famous for its hidden hot springs. The area features seven hot spring resorts, each with its unique spring source, offering a variety of spring qualities to enjoy. It is recommended to visit each hot spring to experience the diverse offerings. For 600 yen, you can buy a Yumeguri Map for unlimited rides on the Yumeguri-go bus that circles Nyuto Onsenkyo for one day, making it a convenient way to explore. Guests can also purchase a Yumeguri-cho booklet for 1,800 yen, which includes bathing fees for all seven hot springs. Both are available at the front desk of each inn.",EN,b8_sBVW0wNzD-37zEqGKU
7r2wPcZkUlQ5lo1fku8MC,乳頭温泉郷,"乳頭温泉郷は、日本中で有名な隠れた温泉地です。このエリアには、独自の温泉源を持つ7つの温泉宿があり、それぞれ異なる泉質を楽しむことができます。多様な温泉と宿が揃っているため、訪れる際には各温泉を楽しむことをお勧めします。600円で購入できる夢ぐりマップを使えば、乳頭温泉郷を一日中巡るバスに無制限で乗ることができ、便利です。また、1,800円の夢ぐり帳を購入すれば、7つの温泉の入浴料が含まれています。どちらも各宿のフロントで購入可能です。",JA,b8_sBVW0wNzD-37zEqGKU
uxxlBgYCTfG6_hTgyO9Lh,Katakai Festival,"The Katakai Festival features the launch of many large spherical fireworks, including the 'Shoyonshakudama,' once recognized by the Guinness Book of Records as the largest of its kind in the world. With a history dating back to the Edo period, the festival showcases breathtaking fireworks that resemble a meteor shower falling from the mountains. Traditional events take place throughout the day, with fireworks offered to the shrine for various reasons. From the seating on the north side of Asahara Shrine, spectators can witness the impressive fireworks soar into the sky and explode right before their eyes.",EN,pyQBrd0mM3u01nzXCDlzw
_UuFYGFK9fTe3P15UFilC,片貝まつり,片貝まつりは、世界最大の球形花火「松明玉」を含む多くの大きな花火が打ち上げられる祭りです。この祭りは江戸時代にさかのぼる花火作りの歴史を持ち、1985年には「四尺玉」がギネス世界記録に認定されました。片貝の花火は、山から降る流星群のような大きな光の花を作り出し、他の祭りと比べても息をのむような光景です。祭りは朝から始まり、伝統的なイベントが行われ、花火は様々な理由で神社に奉納されます。北側の座席からは、壮大な花火が空に舞い上がり、目の前で爆発する様子を楽しむことができます。,JA,pyQBrd0mM3u01nzXCDlzw
Y5ABtHLrwLvlvgearqbpC,Miyagi Zao Fox Village,"At Miyagi Zao Fox Village, you will be welcomed by over 100 free-roaming foxes. There are six types, including familiar Ezo red foxes and rare silver foxes, Arctic foxes (blue and white), platinum foxes, and red foxes. Established in a forest, the village allows you to take walks where foxes may follow you or tug at your clothes. You might even get a chance to cuddle a baby fox! In addition to foxes, you can interact with rabbits, goats, and ponies. However, single adults cannot enter with multiple elementary school-age children. Be cautious, as the free-roaming foxes may bite. Original fox-themed souvenirs are available, including stuffed toys and keychains. The village is open from 9 a.m. to 5 p.m., with last admission at 4:30 p.m. Come and experience this unique attraction!",EN,gvhk6UwaVJnUfCF4RD8-d
O5ADMCPzoViYUhcoxTwjG,宮城蔵王キツネ村,宮城蔵王キツネ村では、100匹以上の自由に走り回るキツネたちがあなたを迎えてくれます。エゾ赤キツネや珍しいシルバーフォックス、アークティックフォックス（青と白）、プラチナフォックス、赤キツネの6種類がいます。村は森の中にあり、散歩をするとキツネたちが後ろからついてきたり、服を引っ張ったりします。赤ちゃんキツネを抱っこできるチャンスもあります！キツネの他にもウサギやヤギ、ポニーと触れ合うことができます。ただし、単独の大人が小学生以下の子供を複数連れて入村することはできません。自由に走り回るキツネたちには注意が必要で、噛まれることもあります。オリジナルのキツネグッズもお土産として販売されています。営業時間は午前9時から午後5時までで、入場は午後4時30分までです。ぜひ訪れてみてください！,JA,gvhk6UwaVJnUfCF4RD8-d
emdixIfCGB95ElIFZxLcU,Yokote Kamakura Festival,"The Yokote Kamakura Festival, held annually on February 15 and 16, is one of the Michinoku Godai Snow Festivals. Dedicated to the water deity, this festival features snow huts where children enjoy amazake and grilled rice cakes. With a history of about 450 years, it began as a prayer for family well-being and prosperity. Today, it has transformed into a tourist attraction, showcasing the magical beauty of the kamakura against the night sky. Visitors can start their journey at the park in front of Yokote City Hall, then explore various kamakura at local schools and along historic samurai residences, culminating at the illuminated Yokote Castle.",EN,JnovVPpxlJykUTWsI6CA_
cUEuQAdnLsfTgx9Ggf2H2,横手かまくら祭り,横手かまくら祭りは、東北地方の五大雪祭りの一つで、毎年2月15日と16日に開催されます。この祭りは水の神に捧げられ、雪の中に作られたかまくらで子供たちが甘酒を飲んだり、餅を焼いたりして楽しみます。約450年の歴史を持つこの祭りは、家族の幸福や商売繁盛、豊作を祈るために始まりました。現在では観光名所としても知られ、夜の暗闇に浮かぶかまくらの美しさは幻想的です。横手市役所前の公園から始まり、横手南小学校や旧武士屋敷沿いのかまくら、照明が施された横手城のかまくらを巡る散策をお勧めします。,JA,JnovVPpxlJykUTWsI6CA_
