"ID",Title,Description,Guidances,images
1026162,"Sapporo: Izakaya & Street Food Tour (10+ Dishes, Drinks Included)","Discover Sapporo’s hidden food culture with a professional local guide who loves to eat like the locals do.<br/>While many visitors only experience classic “must-try” Japanese dishes, this tour takes you into the heart of the city’s vibrant food scene — just like the locals enjoy after work or on weekends.<br/><br/>You’ll stroll through Sapporo’s city center and stop at a variety of unique eateries: from a casual street-side food stall, to two lively izakaya pubs with plenty of traditional flavors, and finally a seasonal stop for the perfect “shime” (closing dish) to end the night.<br/><br/>What’s included<br/><br/>Guided walking food and culture tour with a professional local guide<br/><br/>10+ different Japanese dishes across 4 venues<br/><br/>60-minute all-you-can-drink plan at one izakaya<br/><br/>Street stall snack, izakaya classics, seasonal specialties, and a “shime” dish to wrap up the evening<br/><br/>Enjoy authentic flavors in a stress-free way — just bring your appetite and curiosity!",,https%3A%2F%2Fbokun.s3.amazonaws.com%2F7a9b0457-8428-4273-8065-8f5808efc004.jpg
1026163,Sapporo to Blue Pond & Shirahige Falls Furano Private Tour,"Discover Hokkaido’s highlights on a private day trip from Sapporo — Furano, Blue Pond, and Shirahige Falls.<br/>Travel in a private vehicle with photo stops along Biei’s Patchwork Road and Ningle Terrace, a forest village of artisan shops and cozy cafés.<br/><br/>Itinerary (from Sapporo) <br/>Note: Itinerary can be customized within the available time.<br/><br/>8:00 – Depart from Sapporo <br/><br/>10:30–11:15 – Patchwork Road – Scenic drive through rolling hills and farmlands; perfect for photos<br/><br/>11:45–12:30 – Blue Pond & Shirahige Falls – Vibrant turquoise pond and cascading waterfall<br/><br/>13:30–14:30 – Ningle Terrace – Charming forest village with handcrafted goods and cafés<br/><br/>14:30–17:00 – Return drive to Sapporo<br/><br/>Total Duration: approx. 9 hours (including transportation)<br/><br/>",,https%3A%2F%2Fbokun.s3.amazonaws.com%2F32d562dc-c365-4755-b53a-19414971a95b.jpg
1026164,Niseko ⇔ New Chitose Airport Private Transfer | Licensed Driver,"Our private car transfer service specializes in providing stress-free travel between Niseko and Sapporo or New Chitose Airport. Our experienced drivers and vehicles with legal green plates ensure safe and comfortable travel. Whether for business trips or leisure travel, we promise every ride is a comfortable and dependable experience.",,https%3A%2F%2Fbokun.s3.amazonaws.com%2F199560cc-bc83-45aa-8a55-f81bd419e126.jpg
1026165,Sapporo ⇔ New Chitose Airport Private Transfer | Licensed Driver,"We offer private one-way shuttle services from the airport to Sapporo city, Niseko, Tomamu, and Kiroro in Hokkaido. Our experienced drivers and legally licensed green plate vehicles ensure safe and comfortable travel. Whether for business trips or leisure travel, we guarantee a comfortable and reliable experience for every ride.",,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fcb338090-01e5-4315-afdc-5ac341fb928d.jpg
1026166,Private 1 Day Hokkaido Tour from Sapporo Customizable Itinerary,"Perfect for families, groups, or travelers with lots of luggage, this private charter ensures a comfortable and stress-free journey between destinations. Avoid the fatigue and unexpected issues that can come with public transport, and enjoy peace of mind while we cater to your requests. Choose from flexible durations of 3, 6, or 9 hours to fit your travel plans. Whether you have a set itinerary or need suggestions, our professional guide with 15 years of experience in Hokkaido will tailor the tour to your preferences, recommending the best spots to visit.",,https%3A%2F%2Fbokun.s3.amazonaws.com%2F4f72e096-50e9-42b2-a465-869a95c0e4fc.jpg
1026168,"Hokkaido Winter 2-Day Tour: Icebreaker Cruise, Sounkyo & Zoo","<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Exclusive Winter Experience – Explore Hokkaido’s snowy landscapes, ice festivals, and frozen waterfalls.<br /><br />Snow Adventures for All Ages – Enjoy Snow Tubing, Snow Soccer, Fat Bikes, and Bubble Balls at Asahiyama Snow Park.<br /><br />Wildlife Encounters – Watch the famous Penguin Walk and other active animal displays at Asahiyama Zoo.<br /><br />Spectacular Waterfalls – Marvel at Ryusei (“Shooting Star”) and Ginga (“Milky Way”) Waterfalls in Sounkyo Gorge.<br /><br />Icebreaker Cruise on the Sea of Okhotsk – Break through drift ice aboard Garinko III and spot seals and polar wildlife.<br /><br />Local Cuisine &amp; Crab Culture – Savor fresh Hokkaido seafood in Monbetsu, including photo ops at the Giant Crab Claw.<br /><br />Relaxing Hot Springs &amp; Icefall Festival – Unwind at a Sounkyo Onsen hotel and enjoy dazzling ice sculptures and illuminations.<br /><br />Perfect for Families, Couples, or Groups – Combines adventure, nature, wildlife, and cultural experiences in one convenient 2-day trip.</p>",,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fd4014486-2e94-404f-a898-02352ae70245.jpg
1026169,Scenic Autumn Day Trip from Sapporo Hoheikyo Gorge & Buffet Lunch,"Experience the enchanting autumnal hues on a day trip from Sapporo. Indulge in a lavish buffet lunch at Jozankei Tsuruga Resort, where you can relish gourmet delicacies amidst tranquil surroundings. <br/><br/>Next, venture to Hoheikyo Gorge, where the grandeur of nature unfolds before your eyes. Take leisurely strolls along the gorge's trails, marveling at the breathtaking vistas of cascading waterfalls and vibrant foliage. Continue your adventure at Takino Suzuran Hillside Park, where you'll be captivated by the charming crimson pampas grass, evoking a whimsical atmosphere reminiscent of a fairy tale. <br/><br/>Wrap up your day with a shopping spree at Mitsui Outlet Park, offering over 170 stores with a wide array of products at discounted prices. From the serenity of nature to the thrill of shopping, this day trip promises an unforgettable experience that caters to all your senses.",,https%3A%2F%2Fbokun.s3.amazonaws.com%2F3c3227a5-ceeb-4b52-94c4-ee774c7f8dba.jpg
1026170,Private Hakodate Night Illumination Tour ,"Experience the magic of Hakodate as the city lights up after dark on this enchanting night tour. Begin with breathtaking views from Mount Hakodate, where the city sparkles like a sea of jewels—truly one of the world's most beautiful nightscapes.<br/><br/>Next, explore Hakodate’s historical landmarks under illumination. Stroll along Hachiman-zaka Slope, famous from films, TV dramas, and commercials, offering a stunning waterfront view. Visit the Old Public Hall of Hakodate Ward, a 1910 wooden Western-style building designated as an Important Cultural Property of Japan. The Kanemori Red Brick Warehouses have been transformed into beer halls, restaurants, and shops, blending history with modern charm.<br/><br/>The tour also highlights Hakodate’s iconic churches: the Harisutosu Orthodox Church, Japan’s oldest Greek Orthodox Church built in 1859; the Motomachi Catholic Church, featuring a Gothic-style altar gifted by the Pope; and St. John’s Church, a modern design by British Protestant missionaries.",,https%3A%2F%2Fbokun.s3.amazonaws.com%2F52875b9c-5dc7-4eaf-ac79-188141c1fa8a.jpg
1026177,"Sapporo Hidden Gems Walking Tour: Hokkaido Shrine, Mt.Moiwa, Cafe","① Clear Pricing – No Hidden Costs<br/>All local public transportation, lunch, during the tour is included, giving you great value for a full day of sightseeing.<br/><br/>② Hidden Gem – Revealed on the Day<br/>A special surprise stop awaits you—maybe a scenic viewpoint, maybe a local foodie secret.<br/>Come with an open heart and create a memory you’ll talk about long after the trip.<br/><br/>③ Guided by a Friendly Local<br/>Explore the city efficiently and meaningfully with a knowledgeable local guide.<br/>Skip hours of research and discover not only famous landmarks but also hidden gems that only locals know.<br/><br/>④ Stress-Free & Enjoyable<br/>Forget the hassle of navigating subway maps or figuring out transfers.<br/>We handle all the planning so you can simply relax, explore, and enjoy.",,https%3A%2F%2Fbokun.s3.amazonaws.com%2F3dd1df2c-f41c-444b-bafc-2ef36db0fbfb.jpg
1026178,"From Sapporo Private Tour : Lake Toya, Bear Ranch & Noboribetsu","Experience the best of Hokkaido with ease: savor fresh dairy at Lake Hill Farm, enjoy panoramic views from Silo Observatory, and relax at Toyako Hot Spring Street with a lunch.(Cost Does Not Include Lunch) Take in stunning vistas from the Mount Usuzan Ropeway, and explore the volcanic beauty of Noboribetsu Jigokudani.<br/>We provide private car service with a bilingual driver for seamless transport. Bring family and friends and make the most of your Hokkaido adventure!",,https%3A%2F%2Fbokun.s3.amazonaws.com%2F8d38a842-dc0e-40e1-aa9b-50c47fdab9d3.jpg
1104266,"Sapporo Day Trip: Market, Okurayama, Shiroi Koibito & Otaru Canal","Explore Sapporo and Otaru in one well-paced day. After hotel pickup, head to Sapporo’s Jogai Market to browse fresh seafood and local produce, sample Hokkaido favorites, and hunt for unique local treats. Then visit the legendary Okurayama Ski Jump Stadium (Okurayama Schanze): ride the ropeway for panoramic city views and step into the on-site museum to learn its history and the excitement of ski jumping. Continue to Shiroi Koibito Park to watch chocolate being made and enjoy the photogenic grounds and clock-tower show. After a short highway drive, arrive in Otaru—stroll the canal lined with stone warehouses and gas lamps, enjoy free time for lunch, explore Sakaimachi Street’s glass and music-box boutiques, and, time permitting, join a brief canal cruise. Relax on the ride back to your Sapporo hotel—a seamless day of culture, cuisine, and classic Hokkaido scenery. Includes: Okurayama Ropeway & Museum; Shiroi Koibito Park admission; hotel pickup and drop-off.",,https%3A%2F%2Fbokun.s3.amazonaws.com%2Ff069a683-7cc9-4005-84a6-37321b3fd967.jpg
1125312,Chitose Airport to Niseko Private Bus Transfer Vice Versa ,"Why Choose Our Private Bus Transfer?<br/><br/>Perfect for Groups Ideal for families, friends, or tour groups traveling together. Enjoy a smooth, hassle-free transfer without splitting into multiple vehicles.<br/><br/>Spacious, Comfortable Buses Travel in a clean, well-maintained minibus or coach with ample seating and luggage space, suitable for ski equipment and large suitcases.<br/><br/>Professional, Licensed Drivers Experienced drivers operate legally registered green plate buses and prioritize safety, punctuality, and comfort.<br/><br/>Direct Transfers to Major Resorts Convenient point to point service to Sapporo, Niseko, Furano, Tomamu, Kiroro, and other popular Hokkaido destinations.<br/><br/>Great for Ski & Winter Trips Plenty of room for skis, snowboards, and winter gear, making it an ideal option for ski groups and tour parties.",,https%3A%2F%2Fbokun.s3.amazonaws.com%2F8cf703be-2019-40b3-b8a4-d2b0a4cc67ae.jpg
