"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
887594,Kyoto Early Morning Tour with English-Speaking Guide,"Kyoto is one of Japan’s most popular destinations, so sightseeing can be very crowded during the day. In this tour, we start early to beat the crowds and visit Fushimi Inari Shrine, Kinkakuji, and Arashiyama.<br/><br/>⬇︎ PLEASE READ CAREFULLY ⬇︎<br/><br/>▶️ We have 2 options for this tour, 1. is a walking tour that needs 12,000 steps using public transportation. 2 is a bus tour that stops at each location and a guided tour.<br/><br/>▶️ Each tour is approximately 5.5 hours and may vary by about 30 minutes.<br/><br/>▶️ When booking, please provide a WhatsApp-reachable phone number (travel agents must enter the guest’s number).<br/><br/>▶️ Late arrivals cannot join the tour and no refund will be given.<br/><br/>▶️ Maximum group size: 8 guests for walking tour, 40 for bus tour. (Please be careful, the bus tour is NOT max 8 people)<br/>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,26,11,44,1,136758005],""guidanceType"":""GUIDED"",""languages"":[""ko"",""en""],""displayLanguages"":[]}]}",34.985849,135.7587667,600-8216,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fc9202921-9527-4d2a-a8cb-af4e359e0352.jpg
887595,The Art of Geisha: Exclusive Show & Gion Walking Tour,"Join our tour to explore the Gion district and witness a captivating Geisha show performed by a Maiko, Geisha Apprentice. You will have the time to ask questions, play a traditional Japanese game with the Geisha Apprentice.<br/><br/>Children under the age of 6 cannot join the tour<br/><br/>Meeting Point: Statue of Izumo-no-Okuni<br/>Kawabatacho, Higashiyama Ward, Kyoto, 605-0076, Japan<br/><br/>When booking, please provide a phone number reachable during your stay in Japan and on WhatsApp. If you are a travel agent please enter the guest’s number, not the agency’s. This is so we can have a smooth interaction with guests before the tour, and provide clear information beforehand.","{""guidanceTypes"":[{""id"":null,""created"":[2024,7,4,16,36,14,826150981],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",35.0035414,135.7723501,605-0075,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F21cdc6a8-09be-4362-9a3d-c2c8393df3e5.jpg
887596,Nara Early Morning Tour (Kyoto or Osaka Departure Available),"Nara becomes extremely crowded in the afternoon, making photos difficult. In our tour, we visit the main sites—Kofuku-ji, Todaiji, Nara Park, and Kasuga Grand Shrine—before the crowds arrive.<br/><br/>⬇︎PLEASE READ THE FOLLOWING CAREFULLY⬇︎<br/><br/>* Please arrive 10 minutes early. Late guests cannot be accepted and no refunds will be given.<br/><br/>* For the Kyoto/Osaka Station Pickup option: the one-way train fare to Nara is included. The return ticket is not included.<br/><br/>*This tour has up to 12 guests.<br/><br/>*In this tour, we will walk about 10,000 steps. (stairs and hills included)<br/><br/>*We will be using the train to go from Kyoto/Osaka to Nara which each takes around 1 hour. <br/><br/>* Tour duration:<br/>　– Kyoto/Osaka Departure: 4.5 hours<br/>　– Kintetsu Nara Station Meeting: 3.5 hours<br/><br/>Please provide a phone number that is reachable in Japan and on WhatsApp so that we have a smooth interaction before the tour date. Travel agents must enter the guest’s phone number, not the agency’s.","{""guidanceTypes"":[{""id"":null,""created"":[2024,7,4,16,36,21,263982926],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.6840772,135.8285495,630-8215,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fe3d1bdad-d990-45b2-aca4-fbc7e1566846.jpg
887597,Osaka Early Morning Tour with English-Speaking Guide Dotonbori,"Start your day discovering Osaka’s top highlights before the crowds arrive!<br/><br/>This early morning walking tour takes you through Osaka Castle, Shinsekai, Kuromon Market, and Dotonbori with a friendly English-speaking guide. Learn about Osaka’s history and modern culture while sampling local street food and enjoying one included drink.<br/><br/>Perfect for travelers who want to explore the city efficiently in just a few hours — a great introduction to Osaka’s lively atmosphere and rich traditions.<br/><br/>(Operated by GuideMe Japan – find us on Instagram @guidemejapan!)<br/><br/>Important: Please do not be late as we have other guests on this tour. We will departure on time, and cannot accept any late guests whatsoever.","{""guidanceTypes"":[{""id"":null,""created"":[2024,7,4,16,36,33,195446601],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.6885789,135.534485,540-0002,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fae98031d-fe47-48d5-a3d7-f9c409ee6cc3.jpg
935967,Osaka Castle Walking Tour,"Ran by @guidemejapan on instagram. This tour is perfect for those who want a thorough yet brief overview of Osaka Castle’s rich history. While many visitors only admire its beauty, we’ll dive deeper into its significance and guide you to the best photo spots. We’ll also share recommendations for other top attractions in Osaka to help you make the most of your visit.<br/><br/>*Please note that we will NOT be going inside of Osaka Castle on this tour and will be walking around it.","{""guidanceTypes"":[{""id"":null,""created"":[2024,11,11,8,31,27,358928125],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.6896112,135.5321525,540-0002,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F8b235f5d-2ee5-4434-a3b4-e15dd45c7111.jpg
939203,Kyoto Fushimi Inari Night Walking Tour,"Ran by @guidemejapan on instagram. On this tour, we’ll visit the Fushimi Inari Shrine, Kyoto’s most famous spot known for its 10,000 stunning torii gates. To avoid the crowds and the midday heat, we'll explore the shrine in the evening. This tour is perfect if you’re looking for a quick activity before or after dinner, a leisurely stroll, or some tips from our guide for the rest of your Japan trip. It’s a short and informative tour at a great price!<br/><br/>We will meet at the exit of JR Inari Station. After exiting, turn left, and you will see a Daily Yamazaki convenience store. Our meeting point will be in front of the Daily Yamazaki store.","{""guidanceTypes"":[{""id"":null,""created"":[2024,11,19,7,4,24,168390455],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.9668072,135.7708496,612-0881,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F6562b45d-1773-487b-a807-a8f8be7633e6.jpg
949422,Kyoto Arashiyama Bamboo Forest Hiking Tour（Hidden Temples）,"Ran by @guidemejapan on instagram. Join us on our hiking adventure in Arashiyama! We'll take you on amazing trails that most people never get to see. We'll also start early morning, we’ll have the peaceful Bamboo Forest all to ourselves. Along the way, you’ll discover stunning views, hidden paths and the beauty of nature. If you are lucky, you might even encounter wild monkeys!<br/><br/>Accident and Mountain Rescue Insurance<br/>1) In emergencies (illness, injury) requiring immediate treatment or transport, costs will be borne by the participant (or family). We may request rescue services (e.g., helicopter) without prior consent.<br/>2) Mountain rescues can be expensive. Participants must have mountain insurance covering rescue, search, and personal liability.<br/><br/>Termination of Tour Participation<br/>Guides may end a participant’s tour if:<br/>1) They are unfit to continue (illness, injury, etc.).<br/>2) Weather or natural conditions make it unsafe.<br/>3) They act recklessly, refuse cooperation, or disrupt the tour.<br/><br/>","{""guidanceTypes"":[{""id"":null,""created"":[2024,12,11,0,57,23,214509276],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",35.018781,135.6811811,616-8373,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fc7c38ba4-b5e6-415b-acad-dc853c05a318.jpg
985124,1 Hour Geisha Show in Kyoto,"Watch a real Maiko perform up close—an extremely rare chance, as only about 40 remain in Kyoto today. The show includes two short dances (about 10 minutes total), followed by a Q&A, photo session, and a traditional Japanese game.<br/><br/>Note: Maiko performances are intentionally short to preserve the art, so she will not perform for the full hour.<br/><br/>We offer two different tour options:<br/><br/>Tea House: held inside an authentic Kyo-Machiya.<br/>Gion Theater: held in a dedicated showhouse.<br/>Please check the photos before booking.<br/><br/>If you selected the kimono rental & hair set option, please visit the location below on the day of your tour, before the show.<br/><br/>Kyoto Kimono Rental Mimosa<br/>362-2 Masuyacho, Higashiyama Ward, Kyoto 605-0826<br/>Open daily: 8:00–18:00<br/><br/>- Please go to the kimono rental shop on your own before the show.<br/><br/>- Tell the staff you are from GuideMe Japan and give your name upon arrival.<br/><br/>- No payment is required at the shop, as the kimono rental and hair set are already included.","{""guidanceTypes"":[{""id"":null,""created"":[2025,2,24,2,2,4,514474260],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",35.029729,135.739745,602-8326,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F54efa3a7-2743-424e-9cce-fe943c5dfc04.jpg
987347,Nara Early Morning Tour (Osaka Departure Option),"Ran by @guidemejapan on Instagram. Please check our Instagram for visual examples of our wonderful guides!<br/><br/>Nara gets very crowded during the afternoon and it could be hard to take great photos. Therefore, in our tour we go to the main sites of Nara (Kofuku-ji Temple, Todaiji Temple, Nara Park, and Kasuga Grand Shrine) before the crowd comes. Please note that this is a walking tour that uses public transportation, there is no private vehicle.<br/><br/>Also, this tour ends before noon so you will have the noon time to explore other parts of Nara or make a day trip to Osaka/Kyoto as well. A great tour for people that want to maximize their experience in Japan!<br/><br/>This tour will conclude at Kintetsu Nara Station. The fee from Osaka to Nara Station is included in the tour but the fee on the way back is not included. Please do not be late. Any latecomers will not be granted a refund.<br/><br/>This tour has up to 8 people.<br/><br/>In this tour, we will walk about 10,000 steps.","{""guidanceTypes"":[{""id"":null,""created"":[2025,2,26,23,18,53,544439502],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.7027046,135.495981,530-0001,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F327dee5f-f1fc-41c8-b141-e2901ee46b77.jpg
995204,Asakusa Night Evening Walking Tour with English-Speaking Guide,"Ran by @guidemejapan on Instagram. Please check our Instagram for visual examples of our wonderful guides!<br/><br/>Experience the magic of Asakusa at night on this guided walking tour—perfect before dinner! Stroll through the beautifully lit Kaminarimon Gate, take in the peaceful atmosphere of Sensō-ji Temple after the crowds have gone, and wander through hidden backstreets filled with cozy izakayas and traditional shops. Along the way, your guide will share fascinating stories about Asakusa’s rich history, culture, and local legends. Whether you're new to Tokyo or a seasoned traveler, this tour is a unique and unforgettable way to start your evening!","{""guidanceTypes"":[{""id"":null,""created"":[2025,3,16,6,49,37,810831077],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",35.710509,139.7977387,111-0034,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F99251f34-9e52-49dc-9398-5005ffcabdf4.jpg
