id,content_url,language,title,description
46,https://www.t-borderislands.metro.tokyo.lg.jp/okinotorishima/,JA,テスト,�œ�[
B6j_XZpLIzkLui8_XTnj5,https://www.youtube.com,JA,YouTube,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube."
bhx7P7MtODIcK4KtKyrlw,https://www.youtube.com,JA,YouTube,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube."
zRA_imnVnAFOwA6LptmA7,https://widgets.bokun.io/online-sales/1288269e-9795-4a81-a368-681df893ae2f/experience/871425,JA,NewDays,"Step off the beaten path and into the heart of Tokyo’s vibrant food scene. You’re not going to just tasting Japanese cuisine—you’re diving into a cultural experience designed for true food lovers.
Join our intimate, small-group tour led by a friendly, English-speaking local expert. Wander through authentic neighborhoods rarely visited by tourists, and enjoy exclusive access to hidden eateries, cozy izakayas, and family-run gems known only to locals.

・8-10 authentic Japanese dishes and 3 drinks include Sake at 3 eateries for fresh sea food , Wagyu and more ...

・Receive personalized attention on an intimate small-group tour with fluent English speaker guide 

・Avoid touristy places and get into hidden gems which you barely find it .

This is not just a authentic Japanese food tour but also a chance to engage with friendly local guide and get to know what exactly Japanese culture and cuisine is ."
AoXQd6Bp307c3WUwb73uN,https://widgets.bokun.io/online-sales/1288269e-9795-4a81-a368-681df893ae2f/experience/871426,JA,Shirokanedai station,We have more than 100 pure original Japanese kimonos (for Male & Female style)available in our classic Japanese-style house studio. Our professional Kimono dresser put you on and do hair/makeup . Then you can have photo shoot at our studio . We will share 15-20 pictures .
vTJ-LngfYqu4mHWN4IR3J,https://widgets.bokun.io/online-sales/1288269e-9795-4a81-a368-681df893ae2f/experience/981246,JA,toks 学芸大学改札口,"If you’re looking for a truly exclusive dining experience in Tokyo, this premium tour takes you to members only restaurants that usually don’t welcome walk in guests.
The owner chef Hasegawa has four different type of restaurants and this is his one and only Omakase dining which he can provide his skills face to face.
This tour includes eight courses, including dessert and two drinks. A sommelier will guide you through choosing drinks, either alcoholic or non alcoholic, depending on your preference. Various types of Japanese sake, fresh fruit sour and Japanese tea cocktails and mocktails are among the offerings. Sip these delicious refreshments along with your spectacular food in an evening you won’t forget!

Inclusions
Eight dishes and two drinks at the first restaurant
One drink at the second restaurant
High quality pictures taken by the photographer guide during the tour 
Tips about food, drinks and travel around Japan"
fmhXB0LeXPuVvMQmBXZFj,https://widgets.bokun.io/online-sales/1288269e-9795-4a81-a368-681df893ae2f/experience/1016886,JA,Shimbashi Station,"Discover Japan Your Way – With a Local Guide & Pro Photographer by Your Side.
Skip the typical tourist traps and experience the real Japan through the eyes of a local. Our private tours are 100% customized and led by a guide who was born and raised here — and who’s also a professional photographer.
Whether you’re looking for culture, food or hidden gems, we tailor each moment of your journey based on your interests — with total flexibility, even during the tour.

Plus, we take the stress out of booking restaurants. With insider knowledge and local connections, we’ll reserve authentic, often hard-to-book spots and even curate a personalized menu just for you.

This isn’t just a tour. It’s your very own Japan, made just for you.

-Why choose our private tours?

-Personalized itineraries based on your interests
-Friendly, knowledgeable local guides
-Flexible schedule – your tour, your pace
-Access to hidden spots and local favorites
-Perfect for families, friends, or solo adventurers"
T0TzJXlnwvwPZ7r0QUo56,https://www.youtube.com/watch?v=mRwgEdg0vRQ,JA,Walking around Kobe（神戸を歩く） | 4K HDR,Night walk around Kobe Motomachi.
C5C39GKpkficPHaCtFdwe,https://www.youtube.com/watch?v=MW2jsMvbTFY,JA,【福岡グルメ/博多/天神】安くて美味しいおすすめ居酒屋15選,"Please use this as a reference for your trip or sightseeing in Fukuoka Prefecture. Here, we introduce some wonderful izakayas in Tenjin and Hakata, which are among the fiercest food battle areas in Fukuoka. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
W3LgBApcQ5xF-Q5XL4VsK,https://www.youtube.com/watch?v=a5nZZxPJK7w,JA,【名古屋おみやげ】買いたい！大人気お土産15選（お菓子/スイーツ/愛知グルメ）,"This is a guide for your trip or sightseeing in Aichi Prefecture. This time, we have carefully selected 15 souvenirs that are sure to please from among many popular products. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
wiQC8QqdDZaC7Qt5Au8-_,https://www.youtube.com/watch?v=_vklz6fbTVQ,JA,【愛知観光】名古屋に来たらやりたい15のこと,"Please use this as a reference for your trip or sightseeing in Aichi Prefecture. This time, we will guide you through 15 activities you want to experience when you go to Nagoya. If you have any recommendations that are not mentioned in this video, please share them in the comments section."
UYaCpEtol8gfR2CIcTlfr,https://www.youtube.com/watch?v=pvKKiP28BRY,JA,【神奈川観光】日帰り旅行で行きたい！横浜観光スポット15選,"Please use this as a reference for your trip or sightseeing in Kanagawa Prefecture. This time, we will guide you through 15 recommended spots in Yokohama, where history and modernity beautifully harmonize."
45CQzQtEnCT9W-XpjciG-,https://www.youtube.com/watch?v=Y-iztzoZDWI,JA,【鳥取グルメ】米子人気グルメ10選｜多彩なグルメスポット紹介,"Please use this as a reference for your trip or sightseeing in Tottori Prefecture. Here, we introduce 10 popular gourmet spots in Yonago. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
1C_4SSN2-4vSB7zWl6ejM,https://www.youtube.com/watch?v=koitPkVKmAI,JA,【東京絶品グルメ】銀座ラーメン15選！人気のラーメンは？,"Please use this for reference when traveling or sightseeing in Tokyo. We introduce ramen that can be enjoyed in the adult city of Ginza, either as a main meal or as a late-night snack after drinking. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
YSDs2hrPxt3mte7MjJiZm,https://www.youtube.com/watch?v=d37Jprm7utM,JA,【兵庫】神戸の人気観光スポット15選【女子旅にも人気な神戸】,"Please use this as a reference for your trip or sightseeing in Hyogo Prefecture. This time, we will guide you through a selection of 15 popular tourist spots in Kobe. If you have any recommendations that are not mentioned in this video, please share them in the comments section."
