"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
799511,Mt. Inunaki Trekking and Waterfall Training in Izumisano Osaka ,"Your adventure begins with a guided hike through the primeval forests to the serene Sipporyuji Temple, a sacred site steeped in spiritual history.<br/><br/>Upon arrival, you’ll don the traditional white garb of an ascetic and step under the cascading waters of a sacred waterfall. Feel the rush of nature’s power as you partake in this time-honored ritual, emerging with a sense of clarity and renewal that transcends everyday life.<br/><br/>Your experience culminates at Fudouguchi-Kan, a welcoming Onsen Ryokan nestled at the foot of Mt. Inunaki. Here, you can sink into the soothing embrace of the Inunaki hot springs, letting the thermal waters wash away any remnants of stress.<br/><br/>This transformative tour promises not just a refreshing of your spirit and body, but an awakening to the profound beauty of Japan’s natural and cultural heritage. Join us for an unforgettable experience that will leave you exhilarated and renewed. Let the spirit of Japan infuse your soul! ","{""guidanceTypes"":[{""id"":null,""created"":[2025,10,21,11,3,31,965621511],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.4112609,135.3172818,598-0007,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fdf6d217b-1f38-4ddb-8bf5-af4a3681d284.jpg
802234,"Mt. Inunaki Trekking and Hot Springs in Izumisano, Osaka ","Starting in mid-November, Inunaki Mountain transforms with vibrant autumn colors, creating the perfect season for trekking. The mountains, covered in red and yellow hues, resemble a beautiful painting. As you walk along trails blanketed with fallen leaves, the crisp autumn air and seasonal scents provide a refreshing escape from daily life.<br/><br/>This limited-time trekking experience amid stunning autumn foliage offers a unique adventure that can only be enjoyed during this special season.<br/><br/> In this tour, you hike up the mountain to the Sipporyuji temple with our guide through the primeval forest which has been a training basement for Yamabushi, the Buddhist monk. After visiting the temple, you go back to Fudouguchi-Kan, Hot springs Japanese inn at the entrance of Mt. Inunaki. You have authentic Japanese cuisine and enjoy soaking in the Inunaki hot springs. Fudoguchikan provides a private Japanese room only for you.","{""guidanceTypes"":[{""id"":null,""created"":[2025,12,20,22,26,12,814262479],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.4112609,135.3172818,598-0007,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F8d93114a-07a0-4e5b-9ae5-cf2a35fdd25e.jpg
821623,All You Can Eat Strawberry Picking in Izumisano Osaka ,"■Ichigo Lab is situated in Izumisano City, just a 60-minute journey from Osaka Station.<br/>■Approximately 20 minutes from KIX Airport.<br/>■There are seven varieties of strawberries available, and you can consume as many as you want within 40 minutes.<br/><br/>■Strawberries have different personalities, red or white, large or small, sweet or sour... Please enjoy comparing each taste.<br/>■Also, you can make your favorite sweets such as ice cream, chocolates and soft drink from fresh strawberries which you picked yourself! <br/>You can decorate as you like.","{""guidanceTypes"":[]}",34.3780953,135.3383227,598-0021,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F8830f6a9-add7-4f7a-9ef5-3575c4fd73b9.jpg
821648,"Exclusive Tea Ceremony and Wagashi Cooking in Izumisano, opposite Kansai airport","<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Even in Japanese, there are few people who have experienced an authentic tea ceremony and wagashi making. Wagashi making &amp; Tea ceremony. You will make a Japanese confectionery and Green tea. You can experience the tea ceremony with the confectionery you made. Japanese sweets making experience in Izumisano. Let&#39;s experience the heart of Japan through the tea ceremony!</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Vegetarians are welcome, and also Vegan friendly. Let me know in advance if you have any dietary restrictions.</p>","{""guidanceTypes"":[]}",34.4168712,135.3164366,598-0058,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F5e64b234-f3e3-419c-915e-aab26ed1874c.jpeg
821656,Mt. Inunaki Trekking and Goma Prayer Experience in Osaka ,"You will experience ""Goma Prayer"" in a sacred mountain called Mt. Inunaki. In this tour, you hike up the mountain to the Shipporyujii-temple with our guide through premival forest which has been a training basement for ""Yamabushi"", Buddist monk. After arriving at the temple, Please enter the main hall about 15 minutes before the ”Goma Prayer"" starts. <br/><br/>When you go to ""Fudouguchi-Kan"", Onsen Ryokan at the entrance of Mt. Inunaki, enjoy soaking in the Inunaki hot springs. <br/><br/>※Inunakionsen Fudoguchikan will be temporarily closed for renovation from April 24 to September 30, 2026.<br/>During this period, guests will use the hot spring facilities at Minamitei.","{""guidanceTypes"":[{""id"":null,""created"":[2025,12,20,20,57,1,851764537],""guidanceType"":""GUIDED"",""languages"":[""en"",""es""],""displayLanguages"":[]}]}",34.4112609,135.3172818,598-0007,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fc8a5f698-25b8-4bcd-9bbc-e587ac829925.jpg
869653,"Prayers of Flames, the Experience of Goma Prayers in Izumisano","Step into the timeless embrace of Mt. Inunaki, where the ancient Goma Prayer ignites a sacred fire that dances with life’s essence. Here, amidst the whispers of the past, you’ll witness a ritual that has warmed the hearts of pilgrims for centuries.<br/><br/>Arrive early at the temple’s main hall, a sanctuary of peace, and settle into the stillness. The silence is not empty—it’s full of answers, readying your spirit for the transformative power of the Goma Prayer, available at your beck and call.<br/><br/>Embark on a voyage to Japan, a land where the echoes of tradition blend seamlessly with the calm of nature. Embrace the mystical, embrace the divine. Let this be an adventure that stirs the soul, crafted for those who seek the extraordinary. ","{""guidanceTypes"":[]}",,,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2F5ea7d500-256a-45b7-a909-b4556b712e05.jpg
872887,Up-Close Sumo Experience at Ochi Stable: Wear Kimono in Osaka,"Please step into the ring for a thrill encounter with sumo wrestler!　Feel the excitement as you face off in friendly yet intense sumo matches. After the show, you can take picture with sumo wrestlers. The after session you can fight with sumo wrestler.<br/><br/>Enjoy the flavors of chanko nabe, a traditional, steaming, hearty hotpot dish beloved by sumo wrestlers. The world of sumo is a place where you can witness strength and dignity that transcends language and culture.Let yourself be moved by the thrill of sumo, Japan's proud sport!<br/><br/>Immerse yourself in the essence of Japan's cherished sport and let the thrill of sumo warm your heart.<br/>You can wear a kimono while in the Ochiizumi Room. Please ask the staff.<br/><br/>","{""guidanceTypes"":[]}",34.41001215,135.2985647,598-0047,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fe14bd695-5074-4ffd-947f-07cc2a2479fd.jpg
905422,An experience like no other Samurai at Cultural Property in Osaka,"Experience the unique and immersive ""Samurai Experience"" at the Arai Residence, a Registered Tangible Cultural Property. <br/>Master Profile:<br/><br/>Mugato Toyama-ryu Iaido Battojutsu Head Dojo master: Toshiyuki Yoshizuka<br/>■Toyama-ryu ""Iai-do"" Batto-do Director<br/>■All Japan ""Iai-do"" Batto Federation Director<br/>This experience is guided by a special master who has been a multiple-time Japanese champion and has established the first class for foreigners in Japan.<br/><br/>This activity offers a rare opportunity to practice the traditional Japanese martial art known as ""Iai-do"" of an environment rich in history and culture. The Arai Residence, built in 1932, is a Registered Tangible Cultural Property that showcases exquisite Japanese architecture from the early Showa period.<br/><br/>","{""guidanceTypes"":[{""id"":null,""created"":[2025,10,21,10,48,51,532121443],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",,,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2F4031c3ea-f661-4c0d-8fe8-9cbbc9afb7db.jpg
1038691,Learn and Experience the Decorative Sushi Roll ,"What is Deco-maki Sushi?<br/>Deco-maki sushi is a type of Japanese rolled sushi (maki sushi) primarily characterized by the elaborate pictures and characters that appear on its cross-section.<br/><br/>Visual Appeal and Fun<br/>The greatest appeal of deco-maki lies in its visual beauty and the excitement it brings before eating. Since you don't know what design will appear until you slice it, it's like a game of ""fukuwarai"" (a traditional Japanese game similar to pin the tail on the donkey) that adds an element of surprise and fun. <br/><br/>Unique Creation Method and Diverse Arrangements<br/>Deco-maki goes beyond the realm of ordinary cooking with its unique creation method. It involves combining parts made from colored sushi rice and various ingredients like scrambled eggs, crab sticks, sausages, and cheese. These components are meticulously arranged so that the picture emerges on the cross-section, much like a ""kintaro-ame"" (a traditional Japanese candy with a design that appears no matter where it's cut). <br/><br/>","{""guidanceTypes"":[]}",34.4122708,135.3141075,598-0043,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F41de5d85-40b8-417e-b452-13045efb9cfc.jpg
1064309,We offer electric-assist bicycle rentals for exploring the city comfortably.,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br />Discover the scenic coastline, charming local attractions, and hidden gems of Izumisano with the freedom of an <strong>electric-assist bicycle</strong>!</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Whether you&#39;re heading to a hands-on cultural experience, exploring historic temples, or simply enjoying a relaxing ride along the seaside, our e-bikes make it <strong>easy, fun, and eco-friendly</strong>.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">✅ Hassle-free access to local experience facilities<br />✅ Enjoy the refreshing ocean breeze along the coast<br />✅ Discover photo spots only locals know<br />✅ Perfect for first-time visitors to Japan</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>Rent your electric-assist bicycle today and ride your own adventure!</strong><br />Located just minutes from Kansai International Airport – a perfect start to your journey in Japan.</p>","{""guidanceTypes"":[]}",34.4099181,135.3174435,5980007,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F32c34d71-be50-4eba-a399-b51bfe9004e4.jpeg
