"ID",Title,Description,Guidances,images,Latitude,Longitude,Postal code,Country code
332683,"Half-Day Private Guided Tour to Osaka Minami
","Come with us on foot to visit Minami, Osaka’s busiest area, for half a day!<br/><br/>We start with the American Village. To us the latest trends of young people in the region! Then we take a walk on Midosuji Avenue, the equivalent of the Champs-Élysées in Osaka.<br/><br/>We go to Shinsaibashisuji, the shopping street, where you can find everything! The march continues along the Dotonbori River. The famous Glico Man welcomes us there.<br/><br/>We then pass Hozenji Yokocho, which denotes its traditional architecture, and we visit the peaceful Hozenji Buddhist temple.<br/><br/>A little further, Denden Town, Osaka's electronic and pop culture district! We stroll there before arriving at Shinsekai, with a retro atmosphere, and with its Tsutenkaku tower.<br/><br/>After this day, you will learn more about the contemporary history of Japan. You’ll have had enough eyes full of this beautiful modern city! Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2023,12,19,6,53,33,715137000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",http%3A%2F%2Fbokun.s3.amazonaws.com%2F79ec4107-3311-491a-97f0-c5925a942c4b.jpg,,,,
447114,"Half-Day Private Guided Tour to Osaka Castle

","Come with us to visit Osaka Castle and dive into Japanese history for half a day on foot!<br/><br/>We enter the castle grounds to soak up the history of Japan. We learn more from the end of the Warring Provinces period (15th-17th century). Here we have the site of the famous Battle of Osaka in 1614-1615, which marked the fall of the Toyotomi and the rise of the Tokugawa. We will walk in the park, especially during the cherry blossom season, and it revitalizes us.<br/><br/>After this half day, you will learn more about the history of Japan and Osaka. You will have regenerated in the greenery of Osaka, with a good breath of clean air. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2023,12,19,8,5,43,338705000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2Fd711a497-9f87-4c36-ac10-dfd3c11f6142.jpg,34.6808687,135.5338569,540-0003,JP
449666,Private Transfer from Kansai Airport by Public Transport,"Come to Kansai safely!<br/><br/>We meet you after your arrival at the airport (Osaka International Airport, Kansai International Airport or Kobe International Airport) or at Shinkansen Station (Shin-Osaka Station, Kyoto Station or Shin-Kobe Station). Then we travel with you by public transport to your hotel.<br/><br/>Your guide welcomes you and gives you all the information you need for your trip in French, Japanese or English, whichever you prefer. Your guide is a local Japanese or a long-time resident of Kansai. He knows the area very well and will be happy to share his advice and knowledge with you.<br/><br/>Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2021,6,9,4,41,55,334000000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2Ffd2f734e-d1a6-4273-aa2f-f5b7e7c4065f.jpg,34.434696,135.23537,549-0001,JP
453592,Half-Day Private Guided Tour to Osaka Kita ,"Come with us to visit Osaka Kita for half a day on foot and by public transport!<br/><br/>We start by strolling along the Yodo River Park to enjoy the breathtaking view towards the skyline of the modern city. We follow the river, then pass through the Juso Bridge, to arrive at Umeda Sky Building. The 360° panoramic observatory then offers us a magnificent view towards Osaka and the whole region! <br/><br/>Then we pass through Osaka Station, a modern railway hub with shops, restaurants, and cafes, before diving into the heart of the Umeda business district. Our last stop is the Ohatsu Tenjin Shinto Shrine, famous for its tragic 18th century love story and its role in protecting Osaka Kita.<br/><br/>After this midday, you will have had plenty of eyes and you will learn more about Osaka Kita, its history, architecture, and culture. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2020,10,31,6,29,44,600000000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F3ce5a55b-a1a9-4785-a001-69321623470e.jpg,,,,
827429,"Half-Day Private Guided Tour to Gion in Kyoto

","Come with us on foot to visit the historic streets of Gion, Kyoto, for 4 hours!<br/><br/>We start with a walk along the Kamo River, popular among the locals. Then we discover Shirakawa Street, which marks the entrance to the traditional town.<br/><br/>We visit the Yasaka Shinto Shrine, a sacred site dating from the 7th century. We walk through the old town via Sannenzaka and Ninenzaka, where traditional Kyoto awaits us.<br/><br/>We then pass through Maruyama Park. This park is ideal for enjoying nature. Especially when flowering cherry trees in spring or autumn leaves! Finally, we end our visit with a stroll down Hanamikoji Street, where the kyomachiya, traditional houses of Kyoto, transport us back in time.<br/><br/>After this midday, you will learn more about the history and culture of Gion, and Japan. You will also be full of memories with this traditional cityscape! Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2023,12,21,0,12,4,571521000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F5b927d31-f64a-4ce8-bed6-eb4b745b07c5.jpg,35.0092631,135.7712296,604-8004,JP
827431,Half-Day Private Guided Tour to Kobe City,"Come with us to visit Kobe for 4 hours on foot and by public transport!<br/><br/>This tour begins with a visit to downtown Sannomiya. We then go to Kitanocho. This is the European Quarter of the city. You will see, his contemporary history is exciting! This area, located on a hill, also offers fantastic views of the city below.<br/><br/>We go down the city and then we will arrive at Nankinmachi Chinatown. We can visit China while staying in Japan, how wonderful!<br/><br/>We finish with the Port of Kobe and Harborland. This family-friendly port area is lively. We will see the renewal of the city after the great earthquake of 1995. We can admire the famous tower, the port, the boats here and there, and the attractions.<br/><br/>After this day, you will learn more about this city full of history, culture, and modernity. You'll leave with plenty of memories. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2023,12,21,0,12,52,184083000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F25324544-b50b-44e5-ad40-ae58f3fea528.jpg,34.694659,135.1949544,651-0097,JP
839094,"Half-Day Private Guided Tour to Arashiyama, Kyoto","Come with us to visit Arashiyama on foot for 4 hours!<br/><br/>Tenryuji Zen Buddhist temple dates from the 14th century. He is a witness to the history of Japan. We begin our visit with this temple. Then we sink into the beautiful bamboo grove of Arashiyama. We are impressed by its giant bamboos!<br/><br/>Our walk will take us to Arashiyama Park and then to the Katsura River. We can recharge our batteries in these places rich in nature. Finally, we will explore Sagano, a charming old neighborhood rich in history.<br/><br/>Between nature and history, this tour offers a perfect blend of traditional and natural wonders of Kyoto.<br/><br/>Come with us to immerse yourself in the beauty of Arashiyama. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2024,2,3,23,52,1,576092000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F688999a2-00d1-41cc-b325-212180f37240.jpg,35.018781,135.6811811,616-8373,JP
839095,Half-Day Private Guided Tour to Nara City,"Come and visit with us the beautiful little historic city of Nara for 4 hours!<br/><br/>This tour on foot and by public transport begins with Todaiji Temple. The largest sitting Buddha in Japan and the largest wooden building in the world welcome us! Then we visit the Great Shinto Shrine Kasuga Taisha, a sacred place surrounded by nature and the famous 1,200 shika deer of Nara Park. We will also visit the charming historic Naramachi district, where traditional architecture plunges us into the past.<br/><br/>With a mix of history, nature and culture, this tour is ideal for those who wish to discover the very essence of Nara.Book now and dive into Nara's history and nature with us. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2024,2,3,23,52,9,337966000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F11d24e83-1fa7-42f9-9e38-fd493f8f83cf.jpg,34.6813834,135.8202746,630-8122,JP
843364,Full-Day Private Guided Tour to Nara Temples,"Come with us to visit Nara during one day on foot and by public transports!<br/><br/>We start with the Nara Prefectural Government Office’s rooftop. The view is fantastic! From there, the guide shows you Todaiji, Kasuga-taisha, and Nara Park. It will be a good way for introduction to begin the day!<br/><br/>We go on a walk then we arrive to Todaiji Temple (8th century), home to Japan’s largest seated Buddha. You will be amazed by its magnificence ! After the temple, we continue our walk to Kasuga-Taisha Shrine. Sacred deer are free to come and go. We walk through Nara Park, meeting over 1,200 deer along the way.<br/>Finally, we arrive to Naramachi, merchant old town, rich in traditional Edo-period architecture. We are also able to visit old houses.<br/><br/>After that day, you will know more about Japanese History, through Nara Period (8th century) and Edo Period (17-19th century). You will also be full of memory with all these monuments and nature all the way of our trip. Ready to come? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2024,1,15,13,30,20,676994000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2Fa27b1130-305e-45eb-9617-4a8afc0e1c14.jpg,34.688659,135.534089,540-0002,JP
843392,"Full-Day Private Guided Tour to Historical Osaka

","Come with us to visit the historical Osaka on foot and by public transport!<br/><br/>We start with the Sumiyoshi-Taisha Shinto Shrine, a spiritual place with 1,800 years of history. We can admire its traditional Japanese architecture. Then we go to Shitennoji Temple, dating from 593. Here, one of the symbols of the arrival of Buddhism in Japan and therefore a must for history lovers, is magnificent!<br/><br/>We continue the tour with Osaka Castle. This medieval castle dates from the late 16th century. So, we can learn more about the history of Japanese samurai.<br/><br/>We then go to Shinsekai. The retro atmosphere of the district, with its famous Tsutenkaku tower and the nostalgic atmosphere of the 1970s, takes us back in time.<br/><br/>After that day, you will be full of memories with the nature and architecture of Osaka. The history of the city will have no secrets for you! Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2023,12,19,7,41,50,25596000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2Feefb9df0-5cc4-46b8-bf62-b5e39f24f278.jpg,34.688659,135.534089,540-0002,JP
