"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
1068953,Kyoto: Crowd-Free Tour of Kiyomizu & Ginkaku-ji Temples,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Escape the crowds and discover the true essence of Kyoto on this exclusive small-group tour. We&#39;ll guide you through the city&#39;s most iconic landmarks, including a World Heritage site, using a thoughtfully planned route that avoids the typical tourist congestion. This is your chance to experience the tranquility and beauty of Kyoto in a way that most visitors never will.<br /><br />Our journey begins at the magnificent Kiyomizu-dera Temple, a UNESCO World Heritage site famous for its massive wooden stage. While thousands flock here daily, our special route allows you to appreciate the breathtaking views over the city without the usual hustle and bustle. Feel the serene atmosphere of this sacred place and capture stunning photos from its iconic veranda.<br /><br />Next, we&#39;ll journey to the elegant Ginkaku-ji, the &#34;Silver Pavilion.&#34; Step into a world of Zen as we explore its meticulously maintained gardens, including the famous &#34;Sea of Silver Sand.&#34; Your guide will share the history and philosophy behind this masterpiece of landscape design, allowing for a moment of peaceful contemplation away from the crowds.<br /><br />To complete our unique tour, we&#39;ll visit the historic campus of Kyoto University, one of Japan&#39;s most prestigious academic institutions. This is a rare opportunity to step off the beaten path and see a different side of the city&#39;s intellectual life. Stroll through the beautiful grounds as your guide explains the university&#39;s role in Japan&#39;s history and its contribution to the nation&#39;s soul.<br /><br />Join us for an intelligent and peaceful journey into the heart of Kyoto&#39;s culture and history.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,9,30,14,55,30,1248061],""guidanceType"":""GUIDED"",""languages"":[""zh"",""en"",""ko""],""displayLanguages"":[]}]}",34.98586344,135.7586311,600-8216,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F5c104a0c-84cf-4247-bb81-0494523eb783.png
1068962,"Tokyo: Tsukiji Market ""Best Bites"" Food Tour","<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Tsukiji Market is a whirlwind of sights, sounds, and incredible food, but it can be overwhelming. Where do you even begin? This tour is your answer. Forget the guesswork and join an expert local guide on a curated journey designed to bring you directly to the market&#39;s most delicious and authentic tastes in just 2.5 hours.<br /><br />Our adventure begins not in the chaos, but with a moment of peace at the stunning Tsukiji Honganji Temple. Admire its unique, ancient Indian-inspired architecture as your guide sets the stage for the culinary journey ahead. Before we indulge, we&#39;ll pay a quick visit to the Namiyoke Shrine, the spiritual guardian of the market, to understand the culture and community behind the food.<br /><br />Then, we dive into the bustling labyrinth of the Tsukiji Outer Market. Feel the vibrant energy as your guide expertly navigates the crowds to our first hand-picked stalls. Here, your tasting journey begins with iconic savory treats like &#34;Tamagoyaki,&#34; a warm, fluffy, slightly sweet rolled omelet, and &#34;Nerimono,&#34; a delicious fried fish cake packed with umami.<br /><br />Next, we&#39;ll journey deeper to the heart of Tsukiji&#39;s fame: its world-class seafood. Prepare to taste the freshness of the ocean with delicacies like a plump, juicy oyster or a perfectly grilled scallop. We&#39;ll also sample a bite of delicious tuna, the undisputed king of the market.<br /><br />To complete our culinary exploration, we&#39;ll wind down with a traditional sweet treat. Indulge in a seasonal Fruit Daifuku—a soft mochi rice cake with a sweet filling and a perfect piece of fruit. We&#39;ll pair it with a refreshing cup of Japanese green tea, a perfect palate cleanser to conclude our feast.<br /><br />By the end of the tour, you&#39;ll have experienced the true soul of &#34;Tokyo&#39;s Kitchen.&#34; The tour concludes within the market, so you&#39;re free to continue exploring, shop for unique souvenirs, or simply find a spot for lunch with a full and happy stomach.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,10,4,11,3,18,907653947],""guidanceType"":""GUIDED"",""languages"":[""zh"",""en"",""ko""],""displayLanguages"":[]}]}",35.66737898,139.7719601, 104-0045,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F0587b7a9-acf9-4015-9f75-19dbea94b6c4.png
1069150,Kyoto:Fushimi's Torii Gates & Nijo's Nightingale Floors Tour,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Embark on a journey that explores the two powerful forces that shaped Kyoto: the spiritual world of the gods and the formidable might of the shoguns. This guided tour takes you to two of the city&#39;s most essential and visually stunning landmarks, revealing a fascinating story of contrast and culture.<br /><br />Your adventure begins when you meet your local guide at Kyoto Station and travel to Fushimi Inari Taisha. Prepare to be mesmerized as you step into a world painted in vibrant vermilion. We will walk through the iconic Senbon Torii—a seemingly endless pathway of thousands of red gates that snake up the sacred mountain. Your guide will explain the shrine&#39;s deep connection to the Shinto god of rice and business, and show you the best spots for those perfect, unforgettable photos.<br /><br />Next, we transition from the world of the gods to the realm of Japan&#39;s most powerful samurai rulers at Nijo Castle, a magnificent UNESCO World Heritage site. Admire the opulent architecture, stunning gold-leaf paintings, and intricate carvings that were designed to display absolute power. Your guide will lead you across the famous &#34;nightingale floors,&#34; which chirp with every step—a clever, ancient security system designed to protect the shogun from assassins.<br /><br />This tour offers a deep dive into the fascinating duality of Japanese culture. By experiencing both the divine beauty of Fushimi Inari and the feudal power of Nijo Castle, you will leave with a profound understanding of the forces that have defined Kyoto for centuries.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,10,4,7,53,55,316573193],""guidanceType"":""GUIDED"",""languages"":[""zh"",""en"",""ko""],""displayLanguages"":[]}]}",34.9858785,135.7587683,600-8216,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fa7f9ed8a-c236-4065-a3e7-115006389f3c.png
1069155,"Shibuya: Crossing, Hachiko & Shibuya Sky Guided Tour","<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">This tour starts at the iconic Hachiko statue, takes you to the magnificent SHIBUYA SKY for a breathtaking view, and then guides you through the world-famous Shibuya Scramble Crossing. You will then explore MEGA Don Quijote, a treasure trove of unique Japanese goods, and Shibuya PARCO, a hub for the latest fashion and pop culture. It&#39;s a two-hour tour that lets you experience the diverse charms of Shibuya.<br /><br />・Experience All of Shibuya: Efficiently visit Shibuya&#39;s most famous spots: the Hachiko statue, the Scramble Crossing, and SHIBUYA SKY.<br /><br />・Dive into Diverse Cultures: Experience Shibuya&#39;s culture by visiting MEGA Don Quijote, a store filled with unique Japanese products, and Shibuya PARCO, a center for the latest trends.<br /><br />・Start with a View: Visiting SHIBUYA SKY at the beginning allows you to get a bird&#39;s-eye view of Shibuya, enhancing your appreciation for the city as you explore on foot later.<br /><br />・Easy Walking Route: The route is designed to be easily walkable between all the main spots around Shibuya Station, minimizing travel time.<br /><br />・Maximizing Your Time: This tour offers a rich experience covering spectacular views, history, shopping, and culture in a concise two-hour window.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,10,4,8,49,16,212197079],""guidanceType"":""GUIDED"",""languages"":[""zh"",""en"",""ko""],""displayLanguages"":[]}]}",35.65905932,139.7006276,150-0043,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F97c869a9-4f02-42e6-9afa-31fc8da55a88.png
1069156,"Harajuku: Meiji Shrine, Takeshita Street & Animal Cafe Walk","<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Experience Japan&#39;s serenity, energy, and charm all at once on this unique 2-hour walking tour in the heart of Harajuku. Your adventure begins at JR Harajuku Station&#39;s Takeshita Exit, where your friendly local guide will meet you to kick off an unforgettable Tokyo experience.<br /><br />Our first stop is the urban oasis, Meiji Jingu Shrine. The moment you step onto the grounds, you&#39;ll find yourself in a sacred forest, wrapped in a peaceful silence that feels a world away from the city&#39;s hustle. Your guide will explain the shrine&#39;s history, Japanese culture, and the proper way to pray, allowing you to deeply connect with Japan&#39;s spiritual side. Refresh your spirit in the crisp, clean air.<br /><br />Next, we&#39;ll dive into the world-famous Takeshita Street. In stark contrast to the tranquility of Meiji Shrine, this energetic street overflows with colorful fashion, unique goods, and delicious street food. Experience the cutting edge of Japan&#39;s &#34;Kawaii&#34; culture while enjoying a tasty crepe recommended by your guide.<br /><br />To conclude our tour, you&#39;ll enjoy a supremely relaxing animal cafe experience. The special highlight of this tour is that you get to choose: would you prefer to hang out with fluffy, clever Samoyed dogs, or spend a leisurely time with adorable micro pigs? Your guide will assist with any necessary reservations and ensure a safe, fun interaction, so you can relax and be healed by these cute animals.<br /><br />The tour concludes near Harajuku Station. In just two hours, an unforgettable journey combining Japanese tradition, vibrant pop culture, and a heartwarming animal encounter awaits you.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,10,4,8,14,19,547188848],""guidanceType"":""GUIDED"",""languages"":[""zh"",""en"",""ko""],""displayLanguages"":[]}]}",35.67162111,139.7029205,150-0001,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fcb65c515-285a-4727-ac23-ab82defb56c0.png
1069173,Tokyo: Private Customizable Guided Tour,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Meet your guide at your hotel lobby or a designated station and set off to explore the city. Visit must-see spots like the Tokyo Skytree, Senso-ji Temple, and SHIBUYA SKY, and discover hidden local gems.<br /><br />Enjoy a flexible itinerary that can be tailored to include culinary experiences, shopping, traditional culture, or any other interests. Choose to extend your tour to a full day or multiple days and explore Toyosu Market or Tsukiji Outer Market for a gourmet experience, dive into pop culture in Akihabara, visit Ueno Park and nearby museums, or enjoy a nature excursion to Mt. Takao or Okutama.<br /><br />Enjoy the freedom of a private tour, perfect for families, groups of friends, or solo travelers, with a high degree of customization.</p>","{""guidanceTypes"":[]}",,,,,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fd14a6985-807e-4391-ae6f-2b6ac56eb38e.png
1069180,"Crowd-Free Tokyo : teamLab, Roppongi Hills Views & NACT","<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Immerse yourself in the vibrant heart of Tokyo&#39;s contemporary art and architectural scene on this expertly guided 4-hour tour. Led by a knowledgeable local guide, this journey takes you through the stunning landmarks of the Azabudai and Roppongi districts, showcasing the very best of Japan&#39;s modern creativity.<br /><br />Your tour begins at Azabudai Hills, Tokyo&#39;s newest and most talked-about architectural marvel. As you explore this &#34;modern urban village,&#34; your guide will explain the vision behind its groundbreaking design. Here, we will step into the world of teamLab Borderless, a universe of interactive digital art. Lose yourself as you wander through stunning, borderless artworks that respond to your presence, blurring the lines between the viewer and the art itself.<br /><br />Next, we&#39;ll take a short walk to the iconic Roppongi Hills complex. For years, this has been a symbol of art, leisure, and breathtaking cityscapes. We will ascend to its famous observation deck for spectacular panoramic views of the Tokyo skyline, including landmarks like the Tokyo Tower and beyond.<br /><br />Our artistic exploration concludes at The National Art Center, Tokyo. Housed in a magnificent, wavelike glass structure, it is one of Japan&#39;s most important art institutions. Your guide will explain its architectural significance before you have time to appreciate the world-class art within or browse the unique museum shop. This tour is a must for lovers of art, design, and modern cityscapes.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,10,4,7,7,16,331404480],""guidanceType"":""GUIDED"",""languages"":[""zh"",""en"",""ko""],""displayLanguages"":[]}]}",35.66155021,139.7408152,1060041,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fb3fd6d34-91cc-4746-a283-6bde76f12180.jpeg
1069188,"Tokyo: Shibuya Sky, Harajuku & Meiji Shrine Highlights Tour","<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Experience the electrifying pulse of modern Tokyo and the serene soul of its ancient traditions all in one comprehensive guided tour. This journey is designed to show you the incredible contrasts of Japan&#39;s capital, taking you through its most iconic districts.<br /><br />Our adventure begins at the legendary Hachiko Statue, the perfect starting point to dive into the story of Shibuya. From there, we&#39;ll ascend to Shibuya Sky, a stunning observation deck offering breathtaking 360-degree panoramic views of the entire city. After taking in the skyline, we&#39;ll plunge into the heart of the action at the world-famous Shibuya Scramble Crossing, capturing the organized chaos from the best viewpoints. The exploration of modern Tokyo continues with visits to Shibuya Parco and Miyashita Park, two hubs of cutting-edge fashion, food, and culture.<br /><br />Next, we&#39;ll transition from the bustling energy of Shibuya by taking a stroll down Cat Street. This backstreet, known for its trendy independent boutiques and cool street style, serves as the perfect bridge to our next destination: Harajuku. We&#39;ll immerse ourselves in the vibrant and colorful &#34;kawaii&#34; (cute) culture of Takeshita Street, the epicenter of Japan&#39;s youth fashion and unique snacks.<br /><br />Finally, in a dramatic and beautiful contrast, we&#39;ll step away from the bustling streets and enter the tranquil oasis of Meiji Jingu Shrine. Follow your guide through the peaceful forest path, under the towering torii gate, and learn about the history of this sacred space dedicated to Emperor Meiji and Empress Shoken.<br /><br />The tour concludes at Harajuku Station, leaving you with unforgettable memories and a deep understanding of how Tokyo perfectly balances the hyper-modern with the sacredly traditional.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,10,4,6,47,51,49368708],""guidanceType"":""GUIDED"",""languages"":[""zh"",""en"",""ko""],""displayLanguages"":[]}]}",35.65905823,139.700629,1500043,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F5d0244ef-aebf-4df9-8152-1165ee179f2a.png
1070030,"Tokyo : Hand Roll Sushi Experience,Skytree Entry&Asakusa Walk","<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Meet your guide at the iconic Kaminarimon Gate, where you’ll be greeted by the giant red lantern and statues of the wind and thunder gods. Take a moment for introductions and a quick overview of the day’s itinerary. This spot is also perfect for a memorable photo.<br /><br />Next, stroll down Nakamise Street, a 250-meter path lined with souvenir shops and snack stalls that have been around since the Edo period. Your guide will help you choose souvenirs and explain the local food culture.<br /><br />Continue to the main hall of Sensoji Temple, Tokyo’s oldest Buddhist temple, founded in 645 AD. Admire the historic buildings, including the five-story pagoda and the Hozomon Gate, which make for stunning photos. If you wish, your guide can help you experience traditional rituals like incense burning, drawing omikuji (fortune-telling paper strips), and purification at the temizuya (water pavilion). Learn about the legend of the Kannon statue, a story not widely known even among Japanese people.<br /><br />Then, head to Tokyo Skytree. As you approach, the towering structure becomes more and more impressive. Once there, use your fast pass to smoothly enter the observation deck, 350 meters above ground. Enjoy panoramic views of Tokyo, and on clear days, you might even see Mount Fuji and Tokyo Bay. For a thrill, step onto the glass floor. If you wish, you can also visit the higher observation deck at 450 meters.<br /><br />After enjoying the views, return to Asakusa. If time allows, your guide can take you to Azumabashi Bridge, a great spot for photos with the Skytree in the background.<br /><br />Next, Located between Asakusa and Ueno, Kappabashi is a paradise for culinary lovers. Discover professional-grade knives, tableware, cooking tools, and incredibly realistic food replicas.<br />Highlights include food sample-making experiences and custom-engraved knives—perfect souvenirs and Instagram-worthy finds. A unique glimpse into Japanese craftsmanship!<br /><br />Finally, end your tour with a sushi-making workshop at Hand Roll Tokyo Asakusa. Choose your favorite ingredients, such as salmon and avocado or tuna and cucumber, and use a special sushi rolling machine to make your own sushi. Cut it beautifully with a knife and enjoy your creation in the eat-in space. This simple and fun experience takes about 30 minutes and is included in the tour price.<br /><br />Before you leave, your guide will review the day and thank you for joining the tour. If you wish, they can also arrange a taxi or recommend nearby bars and restaurants. You’ll also receive photos taken during the tour as a souvenir.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,8,10,5,39,26,187589393],""guidanceType"":""GUIDED"",""languages"":[""en"",""ko"",""ja""],""displayLanguages"":[]}]}",35.7111163,139.7963656,111-0032,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F10de22e4-6d62-4594-b621-fcaa0a8309e7.jpg
1094559,Osaka: Night Tour with Dotonbori & Panoramic Views,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Begin your adventure at the top of Japan&#39;s tallest skyscraper, Abeno Harukas. From the &#34;Harukas 300&#34; observatory, 300 meters above the ground, watch as the city transforms from twilight into a glittering jewel box. Your guide will point out the famous districts you are about to explore, setting the stage for the night ahead.<br /><br />Next, travel back in time to the nostalgic neighborhood of Shinsekai. Bathed in the retro glow of the Tsutenkaku Tower, this area is brimming with character. Dive into local food culture with a stop for Kushikatsu. Your guide will explain the etiquette (remember the &#34;no double-dipping&#34; rule) for a truly authentic experience.<br /><br />Prepare for the grand finale as you head to the heart of Osaka&#39;s nightlife, Dotonbori. This is a sensory symphony of giant mechanical crabs, glittering Glico Running Man signs, and endless street food stalls. Navigate the chaos, and discover the best photo spots along the iconic canal.<br /><br />Just steps from the neon flood, find tranquility in the enchanting Hozenji Yokocho, a narrow, stone-paved alleyway illuminated by traditional lanterns. It&#39;s a peaceful, atmospheric end to your electrifying night, leaving you in the heart of the city to continue your evening.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,9,30,14,36,2,905294283],""guidanceType"":""GUIDED"",""languages"":[""en"",""zh"",""ko""],""displayLanguages"":[]}]}",34.64607338,135.5134767,5456061,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fbbe679e1-ed34-4bab-98d1-c14f9b164082.png
