id,title,description,language,content_id
I0mn-prGuhz_8UUdu4WJ0,森の京都四季編（ロゴあり）,冬は大地が静かに眠る季節で、澄んだ空気の中で人々の営みや伝統が息づいています。春は芽吹く命と彩りを感じる季節で、新しいエネルギーが人々を喜びで満たします。夏は太陽と水が躍動し、山や川の恵みが人々に生きる糧を与えます。秋は実りを分かち合う季節で、色鮮やかな山々に囲まれた人々の感謝と祈りが表れます。四季が巡る中で、自然と人々が調和する場所、それが森の京都です。,JA,V1c59SY9bwAzh0mbqDU4z
N9UmHKYgR3l9XDY864F2Y,The Seasons of Forest Kyoto,"Winter is a season of quiet slumber for the earth, where the clear air is filled with the activities and traditions of the people. Spring brings forth new life and vibrant colors, energizing the community with joy. Summer is a time when the sun and water dance, providing sustenance from the mountains and rivers. Autumn is a season of sharing the harvest, where people express gratitude and prayers amidst the colorful mountains. The changing seasons create a harmonious relationship between nature and the people in Forest Kyoto.",EN,V1c59SY9bwAzh0mbqDU4z
tzPjZfdi79yzqaf7rCPQk,森の京都四季編（ロゴ無し）,冬は大地が静かに眠る季節で、澄んだ空気の中で人々の営みや伝統が息づいています。春は新しい命と彩りが芽吹く季節で、喜びに満ちたエネルギーが人々を動かします。夏は太陽と水が躍動する季節で、山や川の恵みが人々に生きる糧を与えます。秋は実りを分かち合う季節で、色鮮やかな山々に包まれた人々の感謝と祈りが感じられます。四季が巡り、自然と人々が調和する場所、それが森の京都です。,JA,xbMVNZynlPPrOTWI4fmdl
IUU_ZtZsA3cErpAky_d1V,The Seasons of Forest Kyoto (No Logo),"Winter is a season of quiet slumber for the earth, where the clear air is filled with the activities and traditions of the people. Spring brings forth new life and vibrant colors, energizing the community with joy. Summer is a time when the sun and water dance, providing sustenance from the mountains and rivers. Autumn is a season of sharing the harvest, where people express gratitude and prayers amidst the colorful mountains. The seasons cycle through, creating a harmonious place where nature and people coexist: Forest Kyoto.",EN,xbMVNZynlPPrOTWI4fmdl
0GZPnThZJEKsJc7y7BZLy,森の京都へようこそ～たくさんの「楽しい！」が待っている～,京都駅からわずか20分の距離に位置する森の京都は、自然にあふれた場所です。ここには、たくさんの「楽しい！」が待っています。森の京都へようこそ。,JA,PBVFj5TR_ghcF472-H_Gw
2e2L6J39QJUlVLa1oYal_,Welcome to the Forest of Kyoto - A Lot of Fun Awaits!,"Just 20 minutes from Kyoto Station, the Forest of Kyoto is filled with nature and offers numerous enjoyable experiences. Welcome to the Forest of Kyoto, where many fun activities await you.",EN,PBVFj5TR_ghcF472-H_Gw
0NgoBp37tpn_UvuyVQ_oJ,森の京都へようこそ～たくさんの「楽しい！」が待っている～,京都駅から20分の距離に位置する森の京都は、自然にあふれた場所です。ここにはたくさんの「楽しい！」が待っており、訪れる人々に素晴らしい体験を提供します。森の京都へようこそ！,JA,d2_YvmdjEhDlvi9YzKCF3
Nc1jHqSvsGVT-Wt94vu0b,Welcome to the Forest of Kyoto - A Lot of Fun Awaits!,"Just 20 minutes from Kyoto Station, the Forest of Kyoto is filled with nature and offers numerous enjoyable experiences. Welcome to the Forest of Kyoto!",EN,d2_YvmdjEhDlvi9YzKCF3
HCe_hEiRuJ5LjFvCKeX17,保津川下り（QRコード入り）,保津川下りは、京都の亀岡から嵐山まで約16kmの渓流を約2時間かけて下る観光アクティビティです。雄大な自然や美しい景色、船頭さんのパフォーマンスが魅力で、世界中の観光客を惹きつけています。乗船した気分で、この素晴らしい体験をお楽しみください。,JA,_KhAkQ22CR9hMlaLIgr-U
IfGCcRA6Qka9VQErADgBm,Hozu River Boat Ride (with QR Code),"The Hozu River boat ride takes approximately 2 hours to travel about 16 km from Kameoka to Arashiyama. This scenic journey captivates tourists from around the world with its magnificent nature, beautiful landscapes, and the performances of the boatmen. Enjoy the experience as if you were on board.",EN,_KhAkQ22CR9hMlaLIgr-U
IOj6Okk5dF_ijYhJXq3xk,【京都・京丹波】 TANTAN SATOYAMA KYOTO & Super Relax Stay,JR京都駅からわずか1時間でアクセスできる里山エリアで、優雅な日本の里山生活を体験できる2泊3日の滞在プログラムです。京都の田舎でのんびりと過ごす貴重な体験を提供し、自然と共にリラックスした時間を楽しむことができます。,JA,03qcimpBxcr2cHEQsknxA
1XkYvs2Ezqua-Xhjndsel,TANTAN SATOYAMA KYOTO & Super Relax Stay,"This is a 2-night, 3-day stay program that allows you to experience the elegant lifestyle of Japan's satoyama area, located just one hour from JR Kyoto Station. It offers a rare opportunity to relax and enjoy the countryside of Kyoto.",EN,03qcimpBxcr2cHEQsknxA
gRnIXZ2WvtjcH6kERy9tL,こころ満たす旅へ、森の京都。,自然と過ごす至福のひとときを体験し、森と川の恵みが溢れる心躍る体験が待っています。森の中で贅沢な時間を過ごし、自然と心を満たす旅に出かけましょう。森の京都地域振興社は、知られざる京都の魅力を世界に発信する公的旅行会社です。まだ誰も体験したことのない旅をご一緒しませんか。,JA,ayg4sIquKrR6Ti-xQioT2
63luOO8npMUphgaNKkMqN,A Journey to Fulfill Your Heart in the Forest of Kyoto,"Experience the bliss of spending time in nature, surrounded by the abundance of forests and rivers. A luxurious time in the woods awaits you, inviting you to embark on a journey that nourishes both nature and your spirit. Join us for an adventure unlike any other, as we unveil the hidden charms of Kyoto to the world through the Forest of Kyoto Regional Promotion Association, a public travel company. Discover experiences that no one has encountered before.",EN,ayg4sIquKrR6Ti-xQioT2
UiCydaj5DadtY3stNlj6x,実はすぐそこ！京都駅から森の京都まで【アクセス紹介動画】,京都市内から自然に触れたいと思っている方の中には、遠く感じる方も多いでしょう。しかし、実は京都駅から亀岡まで電車でたったの20分、乗り換えも不要で簡単にアクセスできます。車窓からは美しい田園風景が広がり、自然の雄大さを感じながら森の京都へお越しください。,JA,YptI1BUoo07X1U-Dri87U
vVc_DSYdcxsPGeWu2VuDy,Access Guide Video: Kyoto Station to Mori no Kyoto,"Many people may think that experiencing nature requires traveling far from Kyoto city. However, it is actually just a single train ride away. You can reach Kameoka, the gateway to Mori no Kyoto, in just 20 minutes without any transfers from Kyoto Station. Enjoy the beautiful rural scenery from the train window and feel the grandeur of nature as you make your way to Mori no Kyoto!",EN,YptI1BUoo07X1U-Dri87U
